X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	Y
Design 1	0.320113314	0.034127495	0.042394015	0.068433386	0.303030303	0.469820555	0.322033898	0.85915493	0.761904762	0.333333333	0	0	0.09232325	0.066473399	0.062749664	0.002596121	0.965355844	2.59111E-05	0.006012775	0.313199533	0.204720053	0.051421758	0.677966102	0.296651351	0.703348649	0.034127495	0.030894783	0.034127495	0.173843954	0.322033898	0.123709243	0.262709717	0.000849791	0.000279423	0.000334738	0.045017198	0.117789961	0.42903752	0.039660057	0.064426698	0.026472984	0.056210401	5.29632E-05	0.001548958	0.192194171	0.081476746	0.007074521	0.030508464	0.01281314	0.000959986	0.0007629	0.00921602	0.000742687	0.001039777	2.77518E-06	0.010746789	0.012984751	0.031873783	0.002162394	0.111442381	0.017297162	0.011950339	0.012921251	0.484513331	0.045237076	0.003545581	0.000702048	0.194300829	0.133483247	0.369290974	0.00025565	0.020812922	0.00254992	0.00150547	0.070964537	0.050780572	0.168071947	0.019671533
Design 1	0.320113314	0.034127495	0.142144638	0.068433386	0.303030303	0.469820555	0.322033898	0.85915493	0.761904762	0.333333333	0	0	0.09232325	0.066473399	0.062749664	9.61214E-05	0.379622013	2.06899E-06	0.006012775	0.313199533	0.204720053	0.051421758	0.677966102	0.296651351	0.703348649	0.034127495	0.030894783	0.034127495	0.173843954	0.322033898	0.123709243	0.262709717	0.000849791	0.000279423	0.000334738	0.045017198	0.117789961	0.42903752	0.039660057	0.064426698	0.008279857	0.171580267	0.001431603	0.013959373	0.192194171	0.081476746	0.002193741	0.030508464	0.01281314	0.010116624	0.013001489	0.04012911	0.000170954	8.74013E-05	2.33275E-07	0.005064572	0.073729567	0.08118706	0.000500367	0.2089557	0.060919028	0.048168278	0.073669974	0.611422404	0.045237076	0.001173738	0.000114994	0.117032717	0.100597855	0.312925978	6.32101E-05	0.010918736	0.000664366	0.000477537	0.034228596	0.018657511	0.132766242	0.153488663
Design 1	0.320113314	0.034127495	0.291770574	0.068433386	0.303030303	0.469820555	0.322033898	0.85915493	0.761904762	0.333333333	0	0	0.09232325	0.066473399	0.062749664	1.19868E-05	0.053365445	3.94543E-07	0.006012775	0.313199533	0.204720053	0.051421758	0.677966102	0.296651351	0.703348649	0.034127495	0.030894783	0.034127495	0.173843954	0.322033898	0.123709243	0.262709717	0.000849791	0.000279423	0.000334738	0.045017198	0.117789961	0.42903752	0.039660057	0.064426698	0.003731576	0.344635066	0.011453253	0.055844523	0.192194171	0.081476746	0.000973546	0.030508464	0.01281314	0.044681707	0.058456952	0.10123493	6.23889E-05	2.82873E-05	7.54992E-08	0.004872015	0.165753669	0.117408767	0.000181079	0.304522635	0.134621008	0.114771342	0.165699997	0.689941771	0.045237076	0.000585897	3.52916E-05	0.083128606	0.083274048	0.281389394	2.62408E-05	0.007139453	0.000253312	0.000209833	0.019530561	0.008744476	0.113602347	0.279549872
Design 1	0.320113314	0.034127495	0.441396509	0.068433386	0.303030303	0.469820555	0.322033898	0.85915493	0.761904762	0.333333333	0	0	0.09232325	0.066473399	0.062749664	3.5288E-06	0.015410849	1.33542E-07	0.006012775	0.313199533	0.204720053	0.051421758	0.677966102	0.296651351	0.703348649	0.034127495	0.030894783	0.034127495	0.173843954	0.322033898	0.123709243	0.262709717	0.000849791	0.000279423	0.000334738	0.045017198	0.117789961	0.42903752	0.039660057	0.064426698	0.002215482	0.517689865	0.038654873	0.125653106	0.192194171	0.081476746	0.000566815	0.030508464	0.01281314	0.106530322	0.131123342	0.173882285	3.1718E-05	1.55406E-05	4.1478E-08	0.004723699	0.24786791	0.146192878	9.40934E-05	0.377853723	0.214022722	0.184060206	0.247819521	0.699467375	0.045237076	0.000402672	1.73935E-05	0.067241608	0.074199385	0.264250101	1.6169E-05	0.005511649	0.000127139	0.000118373	0.01301909	0.004992293	0.103378539	0.393393031
Design 1	0.320113314	0.034127495	0.591022444	0.068433386	0.303030303	0.469820555	0.322033898	0.85915493	0.761904762	0.333333333	0	0	0.09232325	0.066473399	0.062749664	1.46995E-06	0.006144307	5.11414E-08	0.006012775	0.313199533	0.204720053	0.051421758	0.677966102	0.296651351	0.703348649	0.034127495	0.030894783	0.034127495	0.173843954	0.322033898	0.123709243	0.262709717	0.000849791	0.000279423	0.000334738	0.045017198	0.117789961	0.42903752	0.039660057	0.064426698	0.001457435	0.690744664	0.091626451	0.223385122	0.192194171	0.081476746	0.000363449	0.030508464	0.01281314	0.197333488	0.227907328	0.255211946	1.7859E-05	9.94651E-06	2.65474E-08	0.004570385	0.323118959	0.171686697	5.34834E-05	0.43967469	0.297368175	0.256276091	0.323075412	0.701805774	0.045237076	0.000308979	1.00132E-05	0.057434095	0.068192798	0.252640103	1.14669E-05	0.004558126	6.71619E-05	7.1946E-05	0.009137481	0.002963444	0.096533203	0.47545339
Design 1	0.065155807	0.051835158	0.082294264	0.061840088	0.151515152	0.42903752	0.457627119	0.85915493	0.761904762	0.333333333	0	0	0.093559273	0.061820707	0.061339084	0.000623187	0.808047666	6.07287E-07	0.014226222	0.0770361	0.029517631	0.004625032	0.542372881	0.392677134	0.607322866	0.051835158	0.046925095	0.051835158	0.173843954	0.457627119	0.08113481	0.067224435	3.57994E-05	0.000560628	0.000672352	0.00103862	0.197313863	0.42903752	0.218130311	0.243185736	0.038006479	0.083634385	0.000302375	0.001236933	0.013845549	0.005113908	0.000140225	0.01035773	0.004663987	0.003331701	0.003302274	0.005731368	0.000345267	0.000309809	8.26885E-07	0.009068229	0.031211797	0.046393794	0.000358241	0.154974083	0.03340576	0.01977954	0.031149469	0.360237152	0.001038808	2.75339E-05	3.55706E-06	0.025935316	0.009020827	0.067297342	2.1123E-06	0.000369337	0.000316017	8.53843E-05	0.004026792	0.007146946	0.009774926	0.446183414
Design 1	0.107648725	0.051835158	0.082294264	0.061840088	0.151515152	0.42903752	0.457627119	0.85915493	0.761904762	0.333333333	0	0	0.093559273	0.061820707	0.061339084	0.000623187	0.808047666	1.41321E-06	0.014226222	0.126692889	0.056723141	0.010642021	0.542372881	0.392677134	0.607322866	0.051835158	0.046925095	0.051835158	0.173843954	0.457627119	0.08113481	0.110118688	0.000121271	0.000560628	0.000672352	0.003532203	0.197313863	0.42903752	0.138810198	0.166280511	0.027826572	0.083634385	0.000302375	0.001856572	0.032247555	0.01318525	0.000623816	0.016328496	0.007287994	0.003331701	0.003302274	0.008635183	0.000345267	0.000309809	8.26885E-07	0.009068229	0.031211797	0.046393794	0.000562385	0.154974083	0.03340576	0.01977954	0.031149469	0.360237152	0.003538163	0.000129063	2.05093E-05	0.050395434	0.030145725	0.122892016	8.36489E-06	0.002086073	0.000517483	0.000213928	0.014017005	0.012494104	0.035940063	0.412941872
Design 1	0.150141643	0.051835158	0.082294264	0.061840088	0.151515152	0.42903752	0.457627119	0.85915493	0.761904762	0.333333333	0	0	0.093559273	0.061820707	0.061339084	0.000623187	0.808047666	2.54151E-06	0.014226222	0.176349678	0.08893976	0.019065806	0.542372881	0.392677134	0.607322866	0.051835158	0.046925095	0.051835158	0.173843954	0.457627119	0.08113481	0.15301294	0.000287717	0.000560628	0.000672352	0.008388128	0.197313863	0.42903752	0.099150141	0.124285387	0.022267698	0.083634385	0.000302375	0.00247621	0.058010363	0.02448513	0.001300845	0.022299262	0.009912	0.003331701	0.003302274	0.011538998	0.000345267	0.000309809	8.26885E-07	0.009068229	0.031211797	0.046393794	0.000766528	0.154974083	0.03340576	0.01977954	0.031149469	0.360237152	0.008405328	0.000326779	5.35217E-05	0.074855551	0.051270623	0.178486691	2.0541E-05	0.004489504	0.000718948	0.000363859	0.024007218	0.017648385	0.062105201	0.287566961
Design 1	0.192634561	0.051835158	0.082294264	0.061840088	0.151515152	0.42903752	0.457627119	0.85915493	0.761904762	0.333333333	0	0	0.093559273	0.061820707	0.061339084	0.000623187	0.808047666	3.99218E-06	0.014226222	0.226006467	0.12548233	0.029896386	0.542372881	0.392677134	0.607322866	0.051835158	0.046925095	0.051835158	0.173843954	0.457627119	0.08113481	0.195907193	0.000562128	0.000560628	0.000672352	0.016393842	0.197313863	0.42903752	0.075354108	0.097410803	0.018710323	0.083634385	0.000302375	0.003095849	0.091133974	0.039013546	0.00217131	0.028270028	0.012536007	0.003331701	0.003302274	0.014442814	0.000345267	0.000309809	8.26885E-07	0.009068229	0.031211797	0.046393794	0.000970672	0.154974083	0.03340576	0.01977954	0.031149469	0.360237152	0.016429572	0.000652741	0.000107947	0.099315668	0.072395521	0.234081366	4.06151E-05	0.007579629	0.000920413	0.000532011	0.033997431	0.022663836	0.088270338	0.155150583
Design 1	0.235127479	0.051835158	0.082294264	0.061840088	0.151515152	0.42903752	0.457627119	0.85915493	0.761904762	0.333333333	0	0	0.093559273	0.061820707	0.061339084	0.000623187	0.808047666	5.76522E-06	0.014226222	0.275663256	0.165888563	0.043133763	0.542372881	0.392677134	0.607322866	0.051835158	0.046925095	0.051835158	0.173843954	0.457627119	0.08113481	0.238801445	0.000971494	0.000560628	0.000672352	0.028336793	0.197313863	0.42903752	0.059490085	0.078557267	0.016214689	0.083634385	0.000302375	0.003715487	0.131618387	0.056770499	0.003235212	0.034240794	0.015160013	0.003331701	0.003302274	0.017346629	0.000345267	0.000309809	8.26885E-07	0.009068229	0.031211797	0.046393794	0.001174815	0.154974083	0.03340576	0.01977954	0.031149469	0.360237152	0.028400166	0.001139014	0.00018914	0.123775786	0.09352042	0.289676041	7.05618E-05	0.011356449	0.001121879	0.000716269	0.043987643	0.027571357	0.114435475	0.071000918
